0;0;0;0;land;false;unknown;0
1;197;168;232;land;false;plains;1
2;166;206;145;land;false;plains;1
3;160;193;245;land;false;plains;1
4;60;244;198;land;false;plains;1
5;219;186;157;land;false;plains;1
6;168;245;122;land;false;plains;1
7;229;207;78;land;false;plains;1
8;198;221;92;land;false;plains;1
9;184;254;161;land;false;plains;1
10;198;237;152;land;false;plains;1
11;253;59;241;land;false;plains;1
12;246;235;225;land;false;plains;1
13;153;240;120;land;false;plains;1
14;249;147;169;land;false;plains;1
15;224;248;131;land;false;plains;1
16;188;141;230;land;false;plains;1
17;152;144;248;land;false;plains;1
18;185;204;151;land;false;plains;1
19;199;191;219;land;false;plains;1
20;142;233;250;land;false;plains;1
21;152;173;224;land;false;plains;1
22;197;153;248;land;false;plains;1
23;206;213;223;land;false;plains;1
24;226;211;89;land;false;plains;1
25;244;239;161;land;false;plains;1
26;128;254;217;land;false;plains;1
27;207;237;205;land;false;plains;1
28;163;173;216;land;false;plains;1
29;178;203;204;land;false;plains;1
30;227;182;136;land;true;plains;1
31;248;167;133;land;false;plains;1
32;198;239;253;land;true;plains;1
33;209;155;143;land;false;plains;1
34;210;85;224;land;false;plains;1
35;231;241;75;land;false;plains;1
36;254;227;112;land;false;plains;1
37;143;138;224;land;false;plains;1
38;228;209;219;land;false;plains;1
39;232;191;246;land;false;plains;1
40;34;235;241;land;false;plains;1
41;172;215;185;land;false;plains;1
42;237;225;51;land;false;plains;1
43;249;109;211;land;false;plains;1
44;228;158;164;land;false;plains;1
45;157;164;227;land;false;plains;1
46;201;213;130;land;false;plains;1
47;129;215;228;land;false;plains;1
48;185;224;138;land;false;plains;1
49;193;126;217;land;false;plains;1
50;225;119;217;land;false;plains;1
51;241;250;167;land;true;plains;1
52;239;200;214;land;false;plains;1
53;240;124;221;land;false;plains;1
54;127;151;231;land;true;plains;1
55;171;199;166;land;false;plains;1
56;156;106;241;land;false;plains;1
57;119;221;172;land;false;plains;1
58;182;163;206;land;false;plains;1
59;217;227;186;land;false;plains;1
60;91;187;224;land;false;plains;1
61;142;242;233;land;false;plains;1
62;149;199;253;land;false;plains;1
63;180;142;235;land;false;plains;1
64;109;252;234;land;false;plains;1
65;81;248;217;land;false;plains;1
66;213;124;242;land;false;plains;1
67;152;144;244;land;false;plains;1
68;215;175;177;land;false;plains;1
69;141;161;221;land;false;plains;1
70;191;170;174;land;false;plains;1
71;238;67;229;land;false;plains;1
72;198;156;154;land;false;plains;1
73;61;238;207;land;false;plains;1
74;113;162;238;land;false;plains;1
75;186;230;98;land;false;plains;1
76;181;240;198;land;false;plains;1
77;229;186;169;land;false;plains;1
78;125;225;247;land;false;plains;1
79;227;242;229;land;false;plains;1
80;85;164;253;land;false;plains;1
81;252;121;170;land;false;plains;1
82;211;137;184;land;false;plains;1
83;187;231;184;land;false;plains;1
84;212;205;199;land;false;plains;1
85;199;136;210;land;false;plains;1
86;235;248;118;land;false;plains;1
87;212;75;242;land;false;plains;1
88;196;236;106;land;false;plains;1
89;254;126;205;land;false;plains;1
90;138;245;227;land;false;plains;1
91;239;204;169;land;false;plains;1
92;166;236;137;land;false;plains;1
93;236;252;230;land;false;plains;1
94;169;250;96;land;false;plains;1
95;241;117;186;land;false;plains;1
96;246;106;174;land;false;plains;1
97;250;247;202;land;false;plains;1
98;252;232;104;land;true;plains;1
99;215;239;161;land;false;plains;1
100;176;211;239;land;false;plains;1
101;199;112;194;land;true;plains;1
102;239;237;162;land;false;plains;1
103;237;161;125;land;false;plains;1
104;252;183;73;land;false;plains;1
105;189;242;229;land;false;plains;1
106;225;198;98;land;false;plains;1
107;208;185;174;land;false;plains;1
108;181;184;167;land;false;plains;1
109;239;154;115;land;false;plains;1
110;216;47;254;land;false;plains;1
111;213;158;157;land;false;plains;1
112;232;233;181;land;false;plains;1
113;135;252;243;land;false;plains;1
114;167;195;223;land;false;plains;1
115;113;205;219;land;false;plains;1
116;192;167;213;land;false;plains;1
117;163;223;241;land;false;plains;1
118;146;191;168;land;false;plains;1
119;199;246;170;land;false;plains;1
120;223;199;193;land;false;plains;1
121;247;219;164;land;false;plains;1
122;227;240;150;land;false;plains;1
123;144;188;212;land;false;plains;1
124;250;244;246;land;false;plains;1
125;219;254;72;land;false;plains;1
126;127;252;232;land;false;plains;1
127;213;158;213;land;false;plains;1
128;76;242;235;land;false;plains;1
129;53;250;200;land;false;plains;1
130;138;226;223;land;false;plains;1
131;239;221;142;land;false;plains;1
132;156;132;223;land;false;plains;1
133;190;246;220;land;false;plains;1
134;52;239;225;land;false;plains;1
135;248;250;34;land;false;plains;1
136;214;223;93;land;false;plains;1
137;58;249;230;land;false;plains;1
138;235;254;15;land;false;plains;1
139;183;167;253;land;false;plains;1
140;190;202;223;land;false;plains;1
141;204;145;176;land;false;plains;1
142;173;226;162;land;false;plains;1
143;207;180;115;land;false;plains;1
144;178;197;219;land;false;plains;1
145;200;252;176;land;false;plains;1
146;170;219;177;land;false;plains;1
147;96;234;227;land;false;plains;1
148;165;251;219;land;false;plains;1
149;88;241;243;land;false;plains;1
150;188;92;243;land;false;plains;1
151;219;145;145;land;false;plains;1
152;254;76;219;land;false;plains;1
153;150;154;246;land;false;plains;1
154;214;169;144;land;false;plains;1
155;222;229;190;land;false;plains;1
156;227;168;232;land;false;plains;1
157;186;244;229;land;true;plains;1
158;178;171;232;land;false;plains;1
159;172;226;204;land;false;plains;1
160;199;254;116;land;false;plains;1
161;143;238;142;land;false;plains;1
162;150;244;132;land;false;plains;1
163;159;253;243;land;false;plains;1
164;169;216;213;land;false;plains;1
165;253;120;230;land;true;plains;1
166;237;206;140;land;true;plains;1
167;202;119;233;land;false;plains;1
168;220;248;194;land;false;plains;1
169;247;121;179;land;false;plains;1
170;242;145;177;land;false;plains;1
171;128;233;239;land;false;plains;1
172;202;199;167;land;false;plains;1
173;121;155;248;land;false;plains;1
174;252;214;173;land;false;plains;1
175;251;237;158;land;false;plains;1
176;221;198;113;land;false;plains;1
177;190;245;142;land;false;plains;1
178;174;175;254;land;false;plains;1
179;101;245;170;land;true;plains;1
180;188;161;212;land;false;plains;1
181;166;179;209;land;false;plains;1
182;217;184;125;land;false;plains;1
183;174;214;179;land;false;plains;1
184;158;175;249;land;false;plains;1
185;244;200;146;land;false;plains;1
186;250;135;123;land;false;plains;1
187;204;235;190;land;true;plains;1
188;244;185;117;land;true;plains;1
189;177;229;129;land;false;plains;1
190;233;186;125;land;false;plains;1
191;149;249;151;land;false;plains;1
192;253;239;127;land;false;plains;1
193;189;230;133;land;false;plains;1
194;217;187;157;land;false;plains;1
195;227;199;241;land;false;plains;1
196;238;243;234;land;false;plains;1
197;122;225;176;land;false;plains;1
198;253;195;193;land;false;plains;1
199;64;224;222;land;false;plains;1
200;250;239;208;land;false;plains;1
201;248;226;69;land;false;plains;1
202;184;239;171;land;false;plains;1
203;253;146;169;land;false;plains;1
204;175;236;233;land;true;plains;1
205;75;232;234;land;false;plains;1
206;231;93;191;land;false;plains;1
207;186;136;213;land;false;plains;1
208;144;240;146;land;false;plains;1
209;58;232;252;land;false;plains;1
210;131;252;194;land;false;plains;1
211;109;218;202;land;false;plains;1
212;205;236;165;land;false;plains;1
213;222;208;199;land;false;plains;1
214;244;202;174;land;false;plains;1
215;82;250;248;land;false;plains;1
216;135;179;229;land;false;plains;1
217;142;243;227;land;false;plains;1
218;234;240;60;land;true;plains;1
219;230;238;221;land;false;plains;1
220;246;141;152;land;false;plains;1
221;169;204;135;land;false;plains;1
222;235;148;139;land;false;plains;1
223;242;248;146;land;false;plains;1
224;253;135;184;land;false;plains;1
225;215;188;197;land;false;plains;1
226;172;192;210;land;false;plains;1
227;251;221;36;land;false;plains;1
228;218;116;199;land;false;plains;1
229;155;216;138;land;false;plains;1
230;239;231;103;land;false;plains;1
231;248;122;132;land;false;plains;1
232;238;232;50;land;false;plains;1
233;209;227;171;land;false;plains;1
234;221;243;165;land;false;plains;1
235;243;234;153;land;false;plains;1
236;214;124;229;land;false;plains;1
237;243;242;106;land;false;plains;1
238;149;240;132;land;false;plains;1
239;213;211;131;land;false;plains;1
240;210;100;242;land;false;plains;1
241;159;200;165;land;false;plains;1
242;216;227;123;land;false;plains;1
